Name,PD Notation,Crossing Number,Determinant,Volume
4_1,[[4;2;5;1];[8;6;1;5];[6;3;7;4];[2;7;3;8]],4,5,2.029883213
12n_242,[[1;5;2;4];[3;9;4;8];[16;6;17;5];[7;3;8;2];[18;10;19;9];[20;12;21;11];[22;14;23;13];[24;16;1;15];[6;18;7;17];[10;20;11;19];[12;22;13;21];[14;24;15;23]],12,1,2.828122088
5_2,[[1;5;2;4];[3;9;4;8];[5;1;6;10];[7;3;8;2];[9;7;10;6]],5,7,2.828122088
6_1,[[1;7;2;6];[3;10;4;11];[5;3;6;2];[7;1;8;12];[9;4;10;5];[11;9;12;8]],6,9,3.163963229
7_2,[[2;10;3;9];[4;14;5;13];[6;12;7;11];[8;2;9;1];[10;8;11;7];[12;6;13;5];[14;4;1;3]],7,11,3.331744232
8_1,[[1;9;2;8];[3;7;4;6];[5;12;6;13];[7;3;8;2];[9;1;10;16];[11;15;12;14];[13;4;14;5];[15;11;16;10]],8,13,3.427205246
9_2,[[2;8;3;7];[4;14;5;13];[6;4;7;3];[8;2;9;1];[10;18;11;17];[12;16;13;15];[14;6;15;5];[16;12;17;11];[18;10;1;9]],9,15,3.486660146
9_42,[[1;5;2;4];[5;11;6;10];[3;8;4;9];[9;2;10;3];[16;11;17;12];[14;8;15;7];[6;16;7;15];[18;13;1;14];[12;17;13;18]],9,7,4.056860224
10_132,[[1;8;2;9];[3;18;4;19];[5;12;6;13];[7;10;8;11];[9;2;10;3];[11;6;12;7];[14;20;15;19];[16;14;17;13];[17;4;18;5];[20;16;1;15]],10,5,4.056860224
10_1,[[2;11;3;12];[4;20;5;19];[6;18;7;17];[8;16;9;15];[10;14;11;13];[12;1;13;2];[14;10;15;9];[16;8;17;7];[18;6;19;5];[20;4;1;3]],10,17,3.526195991
11a_247,[[4;2;5;1];[14;4;15;3];[22;6;1;5];[20;8;21;7];[18;10;19;9];[16;12;17;11];[12;16;13;15];[10;18;11;17];[8;20;9;19];[6;22;7;21];[2;14;3;13]],11,19,3.553819919
12a_803,[[1;5;2;4];[3;14;4;15];[5;1;6;24];[7;23;8;22];[9;21;10;20];[11;19;12;18];[13;17;14;16];[15;2;16;3];[17;13;18;12];[19;11;20;10];[21;9;22;8];[23;7;24;6]],12,21,3.573882541
8_20,[[1;7;2;6];[4;13;5;14];[5;9;6;8];[7;3;8;2];[10;15;11;16];[12;9;13;10];[14;3;15;4];[16;11;1;12]],8,9,4.124903252
11n_38,[[4;2;5;1];[8;4;9;3];[5;12;6;13];[9;19;10;18];[13;22;14;1];[15;20;16;21];[19;16;20;17];[21;14;22;15];[17;11;18;10];[11;6;12;7];[2;8;3;7]],11,3,4.124903252
6_2,[[1;8;2;9];[3;11;4;10];[5;1;6;12];[7;2;8;3];[9;7;10;6];[11;5;12;4]],6,11,4.400832516
